Venue,Status,Sender,h_index,academic_age,paper_domain,matching_country,replied,positive_reply
Scientific Reports,Opened,pakistani_lums,54.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,german,74.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,7.0,10.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Nature Communications,Opened,german,86.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,30.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,5.0,8.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,33.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,1.0,10.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,german,12.0,13.0,Health Sciences,No Match,1,0.0
Nature Communications,Opened,nigerian,108.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,59.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,8.0,12.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,6.0,9.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,2.0,8.0,Health Sciences,No Match,0,0.0
Science Advances,Unopened,pakistani_nyu,28.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,24.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,7.0,10.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,20.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,44.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,28.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,20.0,10.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,15.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Opened,german,15.0,11.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,33.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,german,39.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,15.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,2.0,12.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,23.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,14.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,33.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,24.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,10.0,8.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,89.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,10.0,12.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,,,,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,38.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,10.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,30.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,27.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,27.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,22.0,11.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,11.0,7.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,19.0,13.0,Health Sciences,No Match,1,0.0
Scientific Reports,Unopened,pakistani_lums,14.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,27.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,5.0,3.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,22.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,24.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,11.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,40.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,98.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,16.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,17.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,5.0,4.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,37.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,61.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,10.0,13.0,Life Sciences,Match German,0,0.0
Science Advances,Unopened,pakistani_lums,47.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,16.0,11.0,Life Sciences,No Match,1,1.0
Scientific Reports,Opened,german,31.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,8.0,7.0,Physical Sciences,No Match,0,0.0
Science Advances,Unopened,nigerian,8.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,german,28.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,,,,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,35.0,13.0,Life Sciences,No Match,1,1.0
Nature Communications,Unopened,pakistani_lums,17.0,12.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,53.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,29.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,31.0,13.0,Physical Sciences,No Match,1,1.0
Nature Communications,Opened,pakistani_nyu,47.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,german,97.0,13.0,Physical Sciences,No Match,0,0.0
Science Advances,Unopened,pakistani_lums,87.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,6.0,10.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,38.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,german,17.0,13.0,Life Sciences,No Match,1,0.0
Nature Communications,Unopened,pakistani_nyu,56.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,22.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,63.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,92.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Science Advances,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,24.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,3.0,4.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,8.0,9.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,22.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,29.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,20.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,6.0,8.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,116.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,24.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Opened,german,24.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,23.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,33.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,132.0,13.0,Physical Sciences,No Match,0,0.0
Science Advances,Opened,german,27.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,13.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,26.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,10.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,16.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,3.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,35.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,68.0,13.0,Social Sciences,No Match,1,1.0
Scientific Reports,Unopened,pakistani_lums,28.0,11.0,Physical Sciences,Match Asian,0,0.0
Nature Communications,Opened,nigerian,59.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,109.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,32.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,60.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,german,52.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,72.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,75.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,12.0,8.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,34.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,9.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,101.0,13.0,Health Sciences,No Match,1,0.0
Nature Communications,Unopened,nigerian,7.0,9.0,Physical Sciences,No Match,0,0.0
PNAS,Unopened,pakistani_nyu,40.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,45.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,,,,No Match,0,0.0
Nature Communications,Opened,german,32.0,13.0,Physical Sciences,No Match,1,1.0
Scientific Reports,Unopened,pakistani_lums,16.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,14.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,57.0,13.0,Physical Sciences,No Match,1,0.0
Scientific Reports,Opened,nigerian,24.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,11.0,9.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,53.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,19.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,13.0,9.0,Life Sciences,No Match,1,1.0
Scientific Reports,Unopened,pakistani_lums,40.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,41.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,22.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,13.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,16.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,17.0,13.0,Health Sciences,No Match,1,0.0
Nature Communications,Opened,pakistani_nyu,47.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,19.0,12.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,54.0,13.0,Physical Sciences,No Match,1,1.0
Nature Human Behaviour,Opened,german,19.0,13.0,Social Sciences,No Match,1,1.0
Science Advances,Unopened,nigerian,,,,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,38.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,german,51.0,13.0,Physical Sciences,No Match,1,1.0
Science Advances,Unopened,nigerian,37.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,4.0,3.0,Physical Sciences,No Match,1,1.0
Scientific Reports,Unopened,pakistani_lums,12.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,13.0,13.0,Physical Sciences,No Match,0,0.0
Science Advances,Unopened,german,47.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,69.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,27.0,13.0,Life Sciences,No Match,1,1.0
Science Advances,Opened,nigerian,15.0,13.0,Life Sciences,No Match,0,0.0
Science Advances,Opened,german,22.0,13.0,Health Sciences,No Match,1,1.0
Scientific Reports,Unopened,german,28.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,20.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,44.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,49.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,8.0,6.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,26.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,39.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,45.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,16.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,german,18.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,27.0,13.0,Physical Sciences,No Match,0,0.0
Science Advances,Unopened,german,20.0,11.0,Health Sciences,Match German,0,0.0
Science Advances,Unopened,pakistani_lums,55.0,13.0,Life Sciences,No Match,0,0.0
Science Advances,Opened,nigerian,70.0,13.0,Health Sciences,No Match,1,0.0
Nature Communications,Unopened,pakistani_nyu,44.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,16.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,3.0,12.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,9.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,28.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,27.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,96.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,13.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,13.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,26.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,63.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,104.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,german,101.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,2.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,german,24.0,13.0,Physical Sciences,No Match,1,1.0
Scientific Reports,Opened,nigerian,,,,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,22.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,18.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,german,1.0,12.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,27.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,22.0,12.0,Health Sciences,No Match,0,0.0
Science Advances,Unopened,pakistani_nyu,105.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,94.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,10.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,2.0,2.0,Health Sciences,No Match,1,1.0
Scientific Reports,Unopened,pakistani_nyu,22.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Unopened,german,30.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,60.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,8.0,12.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,26.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,31.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,86.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,12.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,83.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,6.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,2.0,4.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,29.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Nature Communications,Opened,german,60.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,nigerian,21.0,12.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,18.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,64.0,13.0,Physical Sciences,No Match,0,1.0
Nature Communications,Opened,nigerian,19.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,25.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,german,9.0,12.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,21.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,15.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,10.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,german,78.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,32.0,13.0,Physical Sciences,No Match,0,0.0
Science Advances,Opened,german,10.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,34.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,23.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,28.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,26.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,45.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,32.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,7.0,2.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,5.0,6.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,25.0,13.0,Physical Sciences,No Match,1,0.0
Nature Communications,Unopened,pakistani_lums,22.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,german,2.0,11.0,Physical Sciences,No Match,1,1.0
Scientific Reports,Opened,nigerian,1.0,4.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,42.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,48.0,13.0,Life Sciences,No Match,0,1.0
Scientific Reports,Unopened,pakistani_lums,22.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,50.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,70.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,56.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,40.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,german,14.0,13.0,Life Sciences,Match German,0,0.0
Scientific Reports,Opened,pakistani_lums,9.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,13.0,11.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,german,75.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,11.0,11.0,Life Sciences,No Match,1,1.0
Scientific Reports,Opened,pakistani_nyu,,,,No Match,1,1.0
Scientific Reports,Unopened,pakistani_lums,35.0,13.0,Life Sciences,No Match,0,0.0
Science Advances,Unopened,pakistani_lums,19.0,11.0,Physical Sciences,No Match,0,0.0
Science Advances,Opened,german,18.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,3.0,3.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,59.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,71.0,13.0,Health Sciences,No Match,0,1.0
Nature Communications,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,9.0,13.0,Social Sciences,No Match,0,0.0
Scientific Reports,Opened,german,20.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,26.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,3.0,4.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,46.0,13.0,Health Sciences,No Match,1,0.0
PNAS,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Opened,nigerian,14.0,13.0,Health Sciences,No Match,1,1.0
PNAS,Unopened,pakistani_nyu,64.0,13.0,Social Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,58.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,9.0,7.0,Health Sciences,No Match,1,1.0
Nature Communications,Unopened,german,,,,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,51.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,27.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,17.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,german,51.0,13.0,Health Sciences,Match German,0,0.0
Scientific Reports,Unopened,pakistani_nyu,22.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,18.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,66.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,78.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,german,23.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,13.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,4.0,7.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,2.0,4.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,22.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,55.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,58.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,28.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,73.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,german,29.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,63.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,23.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,112.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,19.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,25.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,23.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,186.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,51.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,german,92.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,17.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,7.0,8.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,57.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,49.0,13.0,Physical Sciences,No Match,1,1.0
Scientific Reports,Opened,pakistani_nyu,16.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,10.0,12.0,Physical Sciences,No Match,1,0.0
Scientific Reports,Opened,nigerian,1.0,1.0,Health Sciences,No Match,0,0.0
Nature Communications,Unopened,german,10.0,13.0,Health Sciences,Match German,0,0.0
Scientific Reports,Unopened,nigerian,29.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,german,143.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,german,34.0,13.0,Physical Sciences,No Match,0,1.0
Scientific Reports,Opened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,german,3.0,9.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,39.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,german,20.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,18.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,,,,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,14.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,54.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,34.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,37.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,19.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,german,19.0,13.0,Life Sciences,No Match,1,1.0
Nature Communications,Opened,pakistani_nyu,,,,No Match,1,1.0
Scientific Reports,Opened,pakistani_lums,2.0,6.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,3.0,8.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,5.0,3.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Nature Communications,Unopened,pakistani_lums,123.0,13.0,Health Sciences,No Match,0,0.0
