sender,sender_country,university_country,university_ranking,request_purpose,replied,paper_domain,h_index,academic_age
Kabelo Molefe,South Africa,South Africa,High,journal article,1,Health Sciences,24.0,20.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,51.0,33.0
James Whitfield,England,England,High,journal article,0,Health Sciences,48.0,
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,70.0,26.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,42.0,43.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,38.0,20.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,44.0,32.0
Kabelo Molefe,South Africa,England,Low,journal article,0,,28.0,28.0
Kabelo Molefe,South Africa,England,Low,journal article,0,,42.0,32.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,41.0,25.0
James Whitfield,England,England,Low,final course project,0,Health Sciences,39.0,34.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,,69.0,
James Whitfield,England,England,High,journal article,0,Life Sciences,73.0,22.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,35.0,24.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,55.0,
James Whitfield,England,England,High,journal article,0,Physical Sciences,59.0,32.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,32.0,
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,63.0,42.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,,
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Social Sciences,2.0,4.0
Kabelo Molefe,South Africa,England,Low,journal article,0,,35.0,
James Whitfield,England,England,Low,final course project,0,Health Sciences,38.0,32.0
Kabelo Molefe,South Africa,England,Low,journal article,0,,,
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,18.0,25.0
Kabelo Molefe,South Africa,England,High,journal article,0,Health Sciences,71.0,28.0
James Whitfield,England,England,Low,final course project,1,Physical Sciences,38.0,
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,36.0,25.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Life Sciences,45.0,38.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,54.0,39.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,87.0,26.0
James Whitfield,England,South Africa,High,final course project,1,Life Sciences,37.0,26.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,36.0,36.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,31.0,
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,48.0,23.0
James Whitfield,England,South Africa,High,journal article,0,Health Sciences,21.0,
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,24.0,
Kabelo Molefe,South Africa,England,Low,final course project,0,Physical Sciences,34.0,34.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,20.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Health Sciences,12.0,24.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,29.0,37.0
James Whitfield,England,South Africa,Low,final course project,0,Social Sciences,,
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,43.0,37.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,31.0,23.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,30.0,35.0
James Whitfield,England,England,Low,final course project,0,Physical Sciences,32.0,13.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,82.0,37.0
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,34.0,44.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,45.0,24.0
James Whitfield,England,England,High,journal article,0,Life Sciences,63.0,
James Whitfield,England,England,High,journal article,0,Physical Sciences,83.0,42.0
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,,
James Whitfield,England,England,Low,journal article,0,Health Sciences,15.0,
James Whitfield,England,South Africa,Low,journal article,0,Health Sciences,29.0,30.0
James Whitfield,England,England,High,journal article,0,Life Sciences,81.0,43.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,61.0,
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,25.0,24.0
James Whitfield,England,England,High,journal article,0,Life Sciences,35.0,40.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,70.0,
James Whitfield,England,England,High,journal article,0,Physical Sciences,20.0,33.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,18.0,9.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,18.0,46.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Life Sciences,46.0,
James Whitfield,England,England,High,journal article,0,Physical Sciences,83.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Health Sciences,37.0,29.0
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,20.0,35.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,88.0,48.0
James Whitfield,England,South Africa,Low,journal article,0,Health Sciences,19.0,28.0
James Whitfield,England,England,High,final course project,0,Health Sciences,78.0,37.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,34.0,15.0
James Whitfield,England,England,Low,journal article,0,,,
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,42.0,28.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,45.0,23.0
Kabelo Molefe,South Africa,England,High,journal article,0,,,
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Health Sciences,23.0,27.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,44.0,22.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Physical Sciences,37.0,40.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,9.0,14.0
James Whitfield,England,South Africa,Low,journal article,1,Physical Sciences,38.0,47.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,197.0,36.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,17.0,16.0
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,29.0,21.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,67.0,19.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Health Sciences,61.0,28.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,40.0,30.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,,26.0,24.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Social Sciences,27.0,30.0
James Whitfield,England,South Africa,High,final course project,1,Social Sciences,105.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Social Sciences,73.0,33.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,45.0,
James Whitfield,England,England,High,journal article,0,Health Sciences,65.0,
Kabelo Molefe,South Africa,England,High,journal article,0,Health Sciences,18.0,18.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,22.0,19.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,67.0,29.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,14.0,10.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,17.0,17.0
Kabelo Molefe,South Africa,South Africa,High,final course project,1,Health Sciences,44.0,46.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,24.0,28.0
Kabelo Molefe,South Africa,England,High,final course project,0,Health Sciences,28.0,27.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,80.0,38.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,20.0,24.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,112.0,46.0
Kabelo Molefe,South Africa,England,Low,journal article,1,Life Sciences,20.0,31.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,79.0,33.0
James Whitfield,England,England,High,journal article,1,Health Sciences,51.0,44.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,20.0,22.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,316.0,46.0
Kabelo Molefe,South Africa,South Africa,High,journal article,1,Physical Sciences,16.0,
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,89.0,25.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,55.0,33.0
Kabelo Molefe,South Africa,England,High,journal article,1,,84.0,35.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,37.0,14.0
James Whitfield,England,England,High,final course project,0,Health Sciences,32.0,22.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Physical Sciences,23.0,34.0
Kabelo Molefe,South Africa,England,High,journal article,0,,22.0,36.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,30.0,23.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,65.0,34.0
James Whitfield,England,England,Low,final course project,0,Life Sciences,35.0,38.0
James Whitfield,England,South Africa,High,journal article,0,Health Sciences,96.0,48.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,76.0,31.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,15.0,20.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,65.0,
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,51.0,34.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,73.0,
James Whitfield,England,England,High,journal article,1,Health Sciences,50.0,32.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,20.0,25.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,32.0,27.0
James Whitfield,England,South Africa,Low,journal article,0,,,
James Whitfield,England,England,Low,journal article,0,Physical Sciences,23.0,22.0
Kabelo Molefe,South Africa,England,Low,final course project,0,,43.0,
James Whitfield,England,England,Low,journal article,0,Physical Sciences,66.0,45.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,77.0,
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,66.0,
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,47.0,36.0
James Whitfield,England,South Africa,High,final course project,0,Health Sciences,97.0,30.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,13.0,19.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,22.0,29.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,111.0,
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,13.0,17.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Health Sciences,6.0,26.0
Kabelo Molefe,South Africa,England,Low,final course project,0,,21.0,
James Whitfield,England,England,High,final course project,0,Physical Sciences,112.0,45.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,9.0,12.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,22.0,17.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,27.0,18.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,54.0,
James Whitfield,England,South Africa,High,final course project,1,Health Sciences,52.0,
James Whitfield,England,South Africa,High,journal article,1,Physical Sciences,4.0,16.0
James Whitfield,England,England,Low,final course project,1,Physical Sciences,15.0,19.0
James Whitfield,England,England,High,journal article,0,Health Sciences,74.0,46.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,14.0,13.0
James Whitfield,England,South Africa,Low,final course project,1,Life Sciences,38.0,
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,30.0,24.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,61.0,34.0
James Whitfield,England,South Africa,High,final course project,1,Life Sciences,37.0,34.0
Kabelo Molefe,South Africa,England,High,final course project,1,Physical Sciences,33.0,50.0
James Whitfield,England,England,Low,final course project,1,Health Sciences,42.0,28.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,114.0,42.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,28.0,23.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,,20.0,43.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Health Sciences,41.0,
Kabelo Molefe,South Africa,South Africa,High,journal article,1,Health Sciences,40.0,48.0
Kabelo Molefe,South Africa,England,Low,final course project,1,Health Sciences,52.0,
Kabelo Molefe,South Africa,England,High,final course project,1,,46.0,43.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,7.0,17.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,84.0,33.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,79.0,29.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,128.0,39.0
Kabelo Molefe,South Africa,England,High,journal article,1,Health Sciences,39.0,31.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,39.0,20.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,26.0,46.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,29.0,29.0
James Whitfield,England,South Africa,High,journal article,1,,,
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,45.0,33.0
James Whitfield,England,South Africa,High,final course project,0,Health Sciences,46.0,32.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,41.0,23.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,,74.0,32.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,105.0,30.0
Kabelo Molefe,South Africa,England,Low,final course project,0,,25.0,20.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Health Sciences,56.0,19.0
Kabelo Molefe,South Africa,England,High,journal article,0,Social Sciences,33.0,17.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,28.0,20.0
Kabelo Molefe,South Africa,England,Low,final course project,0,,84.0,33.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,48.0,27.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,51.0,50.0
James Whitfield,England,England,High,journal article,0,Health Sciences,58.0,21.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,80.0,
Kabelo Molefe,South Africa,South Africa,High,journal article,0,,26.0,35.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,206.0,
Kabelo Molefe,South Africa,England,Low,final course project,0,,,
Kabelo Molefe,South Africa,England,Low,journal article,0,Social Sciences,18.0,14.0
James Whitfield,England,England,High,final course project,0,Health Sciences,85.0,
James Whitfield,England,England,High,final course project,0,Life Sciences,17.0,16.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,54.0,21.0
James Whitfield,England,England,Low,final course project,0,Health Sciences,90.0,
James Whitfield,England,England,Low,journal article,0,Life Sciences,66.0,38.0
James Whitfield,England,South Africa,Low,journal article,0,Health Sciences,36.0,37.0
Kabelo Molefe,South Africa,South Africa,High,final course project,1,Health Sciences,44.0,46.0
Kabelo Molefe,South Africa,England,High,final course project,1,Life Sciences,49.0,31.0
James Whitfield,England,England,Low,journal article,0,,,
Kabelo Molefe,South Africa,England,Low,final course project,0,Physical Sciences,37.0,
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,74.0,22.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Life Sciences,26.0,48.0
James Whitfield,England,England,High,final course project,0,Health Sciences,21.0,10.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,49.0,33.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Health Sciences,35.0,29.0
James Whitfield,England,England,High,journal article,0,Life Sciences,54.0,
James Whitfield,England,England,Low,final course project,0,Life Sciences,39.0,24.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,17.0,12.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,103.0,36.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,31.0,20.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,27.0,30.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,43.0,25.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,14.0,12.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,76.0,31.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,112.0,45.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,34.0,21.0
Kabelo Molefe,South Africa,South Africa,High,journal article,1,Life Sciences,27.0,
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,26.0,20.0
James Whitfield,England,England,Low,journal article,1,Physical Sciences,140.0,29.0
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,111.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,1,,42.0,32.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,,40.0,23.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,64.0,49.0
James Whitfield,England,England,Low,journal article,1,Physical Sciences,35.0,
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,7.0,44.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,61.0,34.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,44.0,36.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,61.0,29.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,90.0,35.0
Kabelo Molefe,South Africa,England,Low,final course project,0,,130.0,35.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,58.0,
Kabelo Molefe,South Africa,South Africa,High,journal article,1,Life Sciences,44.0,
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,83.0,35.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,139.0,
Kabelo Molefe,South Africa,South Africa,Low,final course project,1,Life Sciences,15.0,37.0
Kabelo Molefe,South Africa,England,High,final course project,1,Life Sciences,126.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,52.0,42.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,47.0,21.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,17.0,18.0
James Whitfield,England,England,Low,final course project,0,Life Sciences,25.0,9.0
James Whitfield,England,England,High,final course project,0,Health Sciences,40.0,24.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Life Sciences,32.0,33.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,76.0,24.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,73.0,32.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,43.0,24.0
James Whitfield,England,England,Low,final course project,0,Life Sciences,58.0,
James Whitfield,England,South Africa,High,final course project,1,Physical Sciences,136.0,35.0
James Whitfield,England,England,Low,final course project,0,Life Sciences,71.0,33.0
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,34.0,21.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,53.0,
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Health Sciences,32.0,
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,81.0,25.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,10.0,21.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,83.0,25.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,54.0,
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,11.0,19.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,27.0,23.0
Kabelo Molefe,South Africa,England,High,final course project,0,Physical Sciences,82.0,47.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,,67.0,25.0
Kabelo Molefe,South Africa,England,High,final course project,0,Health Sciences,100.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Life Sciences,56.0,
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,24.0,10.0
James Whitfield,England,South Africa,High,journal article,1,Health Sciences,54.0,38.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,33.0,23.0
Kabelo Molefe,South Africa,South Africa,High,journal article,1,Physical Sciences,44.0,
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,57.0,37.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,29.0,
Kabelo Molefe,South Africa,South Africa,Low,final course project,1,Physical Sciences,74.0,
Kabelo Molefe,South Africa,England,Low,final course project,0,Physical Sciences,57.0,40.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,24.0,15.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,,23.0,
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,28.0,17.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,12.0,17.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,1,Physical Sciences,16.0,35.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Health Sciences,27.0,25.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,41.0,41.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,51.0,38.0
James Whitfield,England,South Africa,High,journal article,0,Health Sciences,47.0,31.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,16.0,29.0
James Whitfield,England,England,Low,final course project,0,Social Sciences,53.0,38.0
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,115.0,
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,182.0,50.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,23.0,17.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,,59.0,46.0
James Whitfield,England,England,High,final course project,0,Health Sciences,22.0,19.0
James Whitfield,England,South Africa,Low,journal article,0,Health Sciences,24.0,17.0
James Whitfield,England,England,High,final course project,0,Life Sciences,43.0,28.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,50.0,37.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,24.0,25.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,19.0,35.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Health Sciences,99.0,35.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,48.0,40.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,1,Life Sciences,45.0,33.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,54.0,27.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,17.0,46.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,,53.0,17.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,10.0,13.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,4.0,8.0
Kabelo Molefe,South Africa,England,High,final course project,0,,63.0,25.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Health Sciences,44.0,42.0
James Whitfield,England,England,Low,journal article,1,Health Sciences,25.0,18.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Health Sciences,32.0,13.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,42.0,22.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,25.0,39.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,,
Kabelo Molefe,South Africa,England,Low,journal article,0,Life Sciences,50.0,23.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,25.0,11.0
Kabelo Molefe,South Africa,England,High,journal article,0,Social Sciences,104.0,
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,5.0,7.0
James Whitfield,England,South Africa,High,final course project,1,Life Sciences,34.0,31.0
Kabelo Molefe,South Africa,England,High,journal article,0,Life Sciences,18.0,20.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,65.0,22.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,47.0,36.0
James Whitfield,England,England,Low,journal article,1,Physical Sciences,41.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,7.0,11.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,14.0,36.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,74.0,32.0
Kabelo Molefe,South Africa,England,High,final course project,0,Health Sciences,37.0,24.0
Kabelo Molefe,South Africa,England,High,final course project,1,Life Sciences,102.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Health Sciences,38.0,28.0
James Whitfield,England,South Africa,Low,journal article,0,Physical Sciences,119.0,37.0
Kabelo Molefe,South Africa,England,Low,journal article,0,Health Sciences,116.0,43.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,20.0,24.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,20.0,22.0
James Whitfield,England,England,Low,journal article,0,Life Sciences,78.0,24.0
James Whitfield,England,South Africa,Low,journal article,1,,,
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,27.0,19.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Physical Sciences,37.0,41.0
Kabelo Molefe,South Africa,South Africa,High,journal article,1,,14.0,12.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,29.0,27.0
James Whitfield,England,England,High,final course project,0,Life Sciences,19.0,22.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,98.0,23.0
James Whitfield,England,South Africa,High,final course project,0,Physical Sciences,59.0,34.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,33.0,25.0
Kabelo Molefe,South Africa,England,High,journal article,1,Life Sciences,48.0,30.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,,34.0,29.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,133.0,35.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,44.0,
Kabelo Molefe,South Africa,South Africa,High,final course project,1,Health Sciences,44.0,46.0
Kabelo Molefe,South Africa,South Africa,High,final course project,0,Physical Sciences,14.0,40.0
James Whitfield,England,England,High,final course project,0,Life Sciences,18.0,16.0
James Whitfield,England,South Africa,High,final course project,0,,,
James Whitfield,England,South Africa,High,final course project,1,Life Sciences,45.0,47.0
Kabelo Molefe,South Africa,England,Low,journal article,0,,51.0,
James Whitfield,England,South Africa,Low,final course project,0,Social Sciences,42.0,26.0
James Whitfield,England,England,High,final course project,0,Life Sciences,30.0,25.0
Kabelo Molefe,South Africa,South Africa,High,journal article,0,Physical Sciences,53.0,38.0
James Whitfield,England,South Africa,High,journal article,0,Life Sciences,93.0,
Kabelo Molefe,South Africa,England,Low,journal article,0,Physical Sciences,40.0,
James Whitfield,England,England,High,final course project,0,Life Sciences,27.0,46.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,28.0,27.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,,
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,37.0,21.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,,
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Health Sciences,23.0,
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,23.0,20.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Health Sciences,40.0,24.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,14.0,11.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,45.0,24.0
James Whitfield,England,South Africa,Low,journal article,1,Life Sciences,46.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,22.0,21.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Physical Sciences,69.0,31.0
James Whitfield,England,South Africa,High,final course project,0,Health Sciences,121.0,48.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,21.0,18.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,84.0,39.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,69.0,29.0
Kabelo Molefe,South Africa,England,High,final course project,0,Life Sciences,14.0,22.0
Kabelo Molefe,South Africa,England,Low,final course project,0,Life Sciences,46.0,33.0
